,id,comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate,label
118914,7b950a846aeb61fe,This topic is extremely noteworthy and likely to be one of the major news items in 2010.,0,0,0,0,0,0,non-toxic
111824,563d1049d41cf49a,that things that we use everyday aren't correct. wikipedia blows cock and so do you.,1,0,1,0,1,0,insult
110794,50b33f8066101280,"Watch Cincinnati Bengals vs Chicago Bears live stream online free. 

Watch Cincinnati Bengals vs Chicago Bears  live stream online free.

Schedules match between Bengals vs Bears will start today this Sunday, Sep 8, 2013 at of Soldier Field Stadium, The NFL season is in the 1 Week of December and we still have long ways to go until having an idea of this year's favorite.Watch Cincinnati Bengals vs Chicago Bears  live NFL football game online HD video coverage on here. Welcome Cincinnati Bengals vs Chicago Bears  live Online on PC of NFL watch football TV link for free. Watch Cincinnati Bengals vs Chicago Bears  Live match Sunday and find out the answer for yourself. Watch live Cincinnati Bengals vs Chicago Bears  live NFL Football match live online for using below this link.

 

nflcomus.com

 

 

Cincinnati Bengals vs Chicago Bears  live online NFL Football TV at 1: 00 PM ET
 

 

Watch live NFL Streaming, Cincinnati Bengals vs Chicago Bears  live streams on September 08. The match will held National Football League my cool friend see an exclusive Week 1 NFL Regular Season live video with Real live. NFL Regular Season live game able able on your PC. Don't miss this game today live video streaming and high quality picture with live online tv. Streaming Online The NFL is so called all sports from the USA .This is a NFL football on 8-09-2013 between Cincinnati Bengals vs Chicago Bears. If you want watch this Soccer game, you can try the link i given. Maybe there have video online Bengals vs Bears live feed streaming. Provide from TV broadcast online from atdhe, justin tv or ustream, p2p or sopcast. We will update for Cincinnati Bengals vs Chicago Bears  score, highlights and results. It's easy, just hit link below.

 
nflcomus.com

 

Click here to watch Cincinnati Bengals vs Chicago Bears  live streaming

 

 

Watch Cincinnati Bengals vs Chicago Bears  NFL Live HD web streaming at pc streams. All the football fans are most welcome to enjoy your favorite competition The National Football League NFL Week 1 between Cincinnati Bengals vs Chicago Bears  live from your PC. So don't worry if you are not able to find any other sources. Because you can find live streaming link with 100% High Definition Quality (HDQ) from this site.Watch Now! Cincinnati Bengals vs Chicago Bears  live NFL Week 1 Football online",0,0,0,0,0,0,non-toxic
82838,dda2fc4a1475fae1,"Stop fucking doing this, you retarded kids, you're going to ruin it for everyone on the kfar.",1,1,1,0,1,0,toxic
66889,b2f6e61238b4c94b,"Please do not add the leak release dates.  

This information is unnecessary as it encourages users to illegally download music off the internet before the original release date.",0,0,0,0,0,0,non-toxic
73167,c3ba8b72bd35b7b5,why dont you queer mother fuckers get a life and stop blocking me you fags.,1,0,1,0,1,0,insult
107071,3c7ba2df23ae9767,umm what was the delete for? u fuckin nigger monkey,1,0,1,0,1,1,identity_hate
97720,0ad21087c679ac0b,"""::Guys, you are the abusive - and dare I say quite correctly in English - the ignorant editors. You are ignoring what is being asked of you. Ignoring the consensus. Look what you are doing, if you do not get your way you cry """" help me """", """" Eurocentric """", """" vandalism """", but you go on to vandalise others. Enjoy your own company but go troll somewhere else. 

""",1,0,0,0,0,0,toxic
149235,594d5efa4517bc97,"golden age of hip hop 

Why do you support this article so much. Rap has not helped save anyone. It is not important. Besides, you sound like an idiot. I believe you should change your ideas about life, before you do something stupid.",0,0,0,0,1,0,insult
53263,8e607e2e7157044d,I THINK NAWLINWIKI’S A HOMUNCULUS.,1,0,0,0,1,0,toxic
116881,70caf7cb4cbbaf49,"""
What about left-wing """"douche bags"""" as your self?68.57.193.169  """,0,0,0,0,0,0,non-toxic
83277,decf63a34f3e0c2e,"""
I've gotta throw a few words in here.  I know this has been brought up before, but I think it got overlooked.  We're all debating whether or not to mention the qualities of being homophobic or anti-homosexual in the lead paragraph.  I can agree that """"homophobic"""" might be misleading, as there's no evidence I can cite that proves he's actually AFRAID of gay people.  However, there is mountains of evidence that he is against gays in general, the gay movement, the gay agenda, whatever.  Let's face facts (not opinions, not passive observations, but facts).  The man hasn't walked a step, spoken a word, inhaled or exhaled in the course of recorded history without firing off some quip about how homosexuals are damning the world and what have you.  I think """"anti-homosexual"""" is perfectly fitting in the lead paragraph.    """,0,0,0,0,0,0,non-toxic
61795,a55ebe79eb68df37,"File:Tyrice Thompson, Holiday Bowl 2007.jpg listed for deletion 
A file that you uploaded or altered, File:Tyrice Thompson, Holiday Bowl 2007.jpg, has been listed at Wikipedia:Files for deletion. Please see the discussion to see why this is (you may have to search for the title of the image to find its entry), if you are interested in it not being deleted. Thank you.   ☼",0,0,0,0,0,0,non-toxic
128063,acf55fe0e46097e4,"loser always loser 

masih ingat kekalahan 2-4 di tangan malaysia..
indon loser!
loser always loser!
hahaha",1,0,0,0,0,0,toxic
114353,639c5ae6930a9e0c,"Removal of Uncited Sources Tag 

The list of sources is synonymous with the supplements for the game, as familiarity with the role-playing genre will tell you.",0,0,0,0,0,0,non-toxic
153438,9cf246d918adb4b5,", which is what the content dispute was about, which is over now",0,0,0,0,0,0,non-toxic
152107,880872cf28ec7b93,"Boredom Swells, that's a mean thing to say (    Hello Kitty is crying now. I hope you are happy.",0,0,0,0,0,0,non-toxic
19361,3320ccb85b6e27d0,Let the eternal wikipedia archives show that i stuck my pen1s into your fat sister's crabby vag1n@.  that's the truth.  fluck you.,1,0,1,0,0,0,toxic
140021,ed4e7a27ffdeb962,"RE: MMC
You know what I'm beginning to see why people are no longer using this site for references of ANY kind. You revert the edit because I called somebody an ass? So what does this have to do with the article in itself? 

The cast members are already listed to the best of knowledge and there's no Chris Butler, Issac, etc because that messes up the total cast itself.Rocky",1,0,0,0,0,0,toxic
70284,bc06063d9c72871d,o you dont understand that im not doing a damn thing wrong andjust doing this for no reason sl keep reposting it tyou apologize faying that shit ealier and stop getting rid of it,1,0,1,0,0,0,obscene
