,id,comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate
40573,6c491480caeae015,"My name is Vascoamaral, I am a clown, and I am Gay. I am an i.d.io.t who like to edit wikipedia and block some constructive users. jojojjo",1,0,0,0,0,0
4281,0b6cad7b53610a5c,"Bite me 

You're a dickhead, drop dead ^-^",1,0,1,0,1,0
39757,6a290f242de3bacd,Flashy user page...,0,0,0,0,0,0
135109,d2b6d3324dc09a60,ARSE YOU FUCKING PRICK. FUCK OFF.,1,1,1,0,1,0
143644,009be20b138011dc,"Clearly you need to reread your own policies, from WP:Vandalism, vandalism is:
 Blanking
 Page lengtheningNPOV violations
 Spam 
 Vandalbots 
 Silly vandalism 
 Sneaky vandalism 
 Userspace vandalism 
 Image vandalism 
 Abuse of tags 
 Page move vandalism 
 Link vandalism
 Avoidant vandalism
 Modifying users' comments
 Discussion page vandalism
 Repeated uploading of copyrighted material
 Malicious account creation
 Edit summary vandalism
 Hidden vandalism
I did not do any of those things. In contrast and from the same page, vandalism is not:
 Tests by experimenting users
 Using incorrect wiki markup and manual of style
 NPOV violations
 Making bold edits
 Unintentional misinformation
 Unintentional nonsense
 Stubbornness
 Harassment or personal attacks
 Policy/guideline/essay/other project namespace page alteration
Out of the two lists my edits could only possibly fall into three categories, however I would disagree with two of them:
NPOV violation - I am removing POV from the article by ensuring CP is correctly quoted and that an alternative viewpoint is offered to the liberally biased criticism of the project
Stubbornness - if standing up for the truth and acting as a barrier to the liberal smears rampant on the project makes me stubborn then so be it, but history will judge me as being forced to engage in edit wars against other stubborn editors who refused to consider anything other than their liberal delusions
It is clear that my edits were not vandalism, and in labeling them as such you made a clear personal attack against me for which I demand an apology.",0,0,0,0,0,0
49614,84a32eaaea54de56,"I agree 
At least I can't get blocked for typing true shit on my own page.  All the admins are gay.  I RUN THIS SHIT.",1,0,1,0,0,0
44884,77f1a3c474d124a1,"Oh come ON, you just added an article to our watchlist! Could you at least reply to my invitation?  (Have a nice day!)",0,0,0,0,0,0
149736,609c937d434aa77e,"Glad to see that you have so many friends 
and they all come to your help. Unfortunately in reality Americans dont have any friends, and are almost universally despised for their might-is-right-approach you wonderfully demonstrated on the Mississippi article. No wonder that everyone hates you.",0,0,0,0,0,0
73969,c5ec883c21b95fda,FUCK YOUR LIFE BITCH!  I wasn't vandalizing anything.  I was responding to the idiotic comments made by one of your NAZI STAFF!,1,0,1,0,1,1
126187,a2d813060f4f43ad,"South America 
Camino Real in Peru may be a good entry.  These are the roads connecting the Inca Empire throughout the Andes.  It is historical, but El Camino Real is notable, and a street, so I dont know if it should be included",0,0,0,0,0,0
324,00d1d2f4f247d472,MATT HARDY IS SO FUCKY!!!''Italic text[[Media:Example.ogg]]'''''MATT HARDY IS SO FUCKY!!!,1,0,1,0,0,0
97136,07acf2c033452d0f,"kids incorporated 

SHUT THE HELL UP.",1,0,1,0,0,0
88880,edc8efbf7b40d45e,"Australian military history task force 

Just letting you know that the Australian military history task force is now underway, hope you join up. Regards",0,0,0,0,0,0
109495,49aa8538cbd4e479,Idiot tristan is right! no one actually knows there are to many theories about it too. 1 it is pure speed. 2 bloodline limit. 3 it summons the user 4 it really does teleport. 5 it travels along with lightning. 6 cloning o.O. thats just the surface of all the theories most r half baked,1,0,0,0,0,0
8523,16a177d9cda22343,"""

 Edit request for video games section 

The section ICarly#Video games could use an update to the second paragraph to the effect that there has been a second game released by this publisher.  Something along the lines of 

""""Activision released a sequel, iCarly 2: iJoin the Click, for the same platforms in November 2010.""""

or words to that effect should cover it.  If you need sources:

 IGN
 Gamers Hell

Thanks.  88.104.32.76  """,0,0,0,0,0,0
64896,ada86bcb41344f94,"""

 Edit request on 30 March 2013 

This is NOT the correct definition of queer.  According to the free dictionary dot com, queer is """"Deviating from the expected or normal; strange: a queer situation. 2. Odd or unconventional, as in behavior; eccentric. See Synonyms at strange.""""  And according to Merriam-Webster, queer means """"a  differing in some odd way from what is usual or normal. b (1)  eccentric, unconventional (2)  mildly insane  touched.""""  And according to common sense, queer is not exclusive to """"sexual and gender minorities that are not heterosexual, heteronormative, or gender-binary
"""" as Wikipedia is defining it.  This whole gay rights zeitgeist is completely out of control.  Wikipedia- you are totally ridiculous and becoming irrelevant with this crap.

68.60.232.105  """,1,0,0,0,0,0
15958,2a1714b08088c30c,i just took out a bunch of Grana refs - the Health section was overcited and overdetailed on the variability issue,0,0,0,0,0,0
108809,45ba49e3d8edded6,"I SIMPLY want to state WHAT the public reaction was. Seeing that you already overly express that it was sad for many people, I wished to express the opposite end of the spectrum. Being in this spectrum, I felt it even more necasery. But if this is just going to be a whine fest fuck it",1,0,0,0,0,0
107576,3f1b13b0411aa2a3,Your user name is stupid stopgiving me warnings you batty,1,0,0,0,1,0
57930,9b1f0c19368c7813,"It's at Cupid and Psyche#Classical tradition. There's a footnote. It's meant just to provide a context for why the tale was known and allegorized in the 5th and 6th centuries, but then resurfaces only in the mid-14th century among the Florentine humanists. The section is on literary reception, not the transmission of the text as such, which I would see as belonging properly to the article on the Metamorphoses as a whole (I regard it as unfortunate that we go with The Golden Ass).",0,0,0,0,0,0
